ip,timestamp,endpoint,status_code,response_time_ms,user_agent,is_attack,attack_type
10.0.1.74,2025-05-12 10:00:24.760840,/health,200,184,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
10.0.1.2,2025-05-12 10:00:26.504171,/security/blocked-ips,200,133,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
172.16.1.7,2025-05-12 10:00:26.660466,/auth/register,404,56,curl/7.88.1,1,scraper
172.16.1.13,2025-05-12 10:00:27.242386,/auth/register,403,69,Scrapy/2.11.0,1,scraper
172.16.1.11,2025-05-12 10:00:27.348659,/auth/login,403,64,PostmanRuntime/7.36.0,1,scraper
10.0.1.123,2025-05-12 10:00:28.431228,/api/keys,200,79,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
172.16.1.1,2025-05-12 10:00:30.582497,/auth/login,200,65,python-requests/2.31.0,1,scraper
192.168.1.5,2025-05-12 10:00:31.501537,/auth/login,401,44,custom-bot/1.0,1,bruteforce
192.168.1.5,2025-05-12 10:00:31.864651,/auth/login,401,24,custom-bot/1.0,1,bruteforce
10.0.1.131,2025-05-12 10:00:31.968696,/auth/login,404,249,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
172.16.1.14,2025-05-12 10:00:32.844626,/auth/login,200,73,Go-http-client/1.1,1,scraper
10.0.1.13,2025-05-12 10:00:33.335215,/security/blocked-ips,200,205,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
172.16.1.10,2025-05-12 10:00:33.493441,/auth/register,403,63,curl/7.88.1,1,scraper
10.0.1.87,2025-05-12 10:00:33.604464,/api/keys/generate,200,232,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
192.168.1.5,2025-05-12 10:00:34.260917,/auth/login,401,47,custom-bot/1.0,1,bruteforce
10.1.1.16,2025-05-12 10:00:34.426592,/health,404,153,Go-http-client/1.1,0,normal
10.0.1.143,2025-05-12 10:00:36.262601,/health,200,204,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
172.16.1.11,2025-05-12 10:00:36.334553,/auth/register,200,47,Scrapy/2.11.0,1,scraper
192.168.1.5,2025-05-12 10:00:36.519833,/auth/login,401,39,custom-bot/1.0,1,bruteforce
172.16.1.7,2025-05-12 10:00:37.627749,/api/keys,403,61,Go-http-client/1.1,1,scraper
10.1.1.7,2025-05-12 10:00:38.002546,/users/settings,200,147,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
192.168.1.5,2025-05-12 10:00:39.675365,/auth/register,401,43,custom-bot/1.0,1,bruteforce
10.1.1.4,2025-05-12 10:00:39.717437,/auth/login,400,91,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.1.1.19,2025-05-12 10:00:41.848741,/analytics/summary,200,103,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
172.16.1.14,2025-05-12 10:00:42.400553,/auth/register,200,44,PostmanRuntime/7.36.0,1,scraper
10.0.1.168,2025-05-12 10:00:42.708702,/security/rate-limits,200,153,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.5,2025-05-12 10:00:43.320031,/auth/login,401,50,custom-bot/1.0,1,bruteforce
10.0.1.97,2025-05-12 10:00:44.084397,/health,200,187,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.1.1.18,2025-05-12 10:00:46.041350,/security/rate-limits,201,85,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
172.16.1.12,2025-05-12 10:00:46.048060,/auth/register,200,88,python-requests/2.31.0,1,scraper
10.0.1.136,2025-05-12 10:00:46.533439,/api/keys,200,92,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.0.1.135,2025-05-12 10:00:48.139679,/analytics/summary,200,199,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
192.168.1.5,2025-05-12 10:00:48.498722,/users/profile,401,35,custom-bot/1.0,1,bruteforce
172.16.1.2,2025-05-12 10:00:49.300551,/auth/register,200,45,python-requests/2.31.0,1,scraper
10.0.1.144,2025-05-12 10:00:49.776891,/analytics/summary,200,134,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.0.1.64,2025-05-12 10:00:50.301790,/security/blocked-ips,200,123,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
172.16.1.15,2025-05-12 10:00:50.352385,/auth/register,403,61,PostmanRuntime/7.36.0,1,scraper
10.0.1.161,2025-05-12 10:00:50.593277,/analytics/summary,200,276,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.0.1.117,2025-05-12 10:00:50.791533,/users/settings,200,97,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
172.16.1.9,2025-05-12 10:00:50.795607,/auth/login,200,49,Go-http-client/1.1,1,scraper
10.0.1.10,2025-05-12 10:00:52.858237,/analytics/summary,200,56,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
203.0.1.4,2025-05-12 10:00:53.439780,/auth/login,401,28,curl/7.88.1,1,credential_stuffing
10.1.1.16,2025-05-12 10:00:53.568180,/security/rate-limits,200,74,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.5,2025-05-12 10:00:54.915903,/auth/login,401,30,custom-bot/1.0,1,bruteforce
10.0.1.84,2025-05-12 10:00:55.427958,/users/profile,200,106,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.143,2025-05-12 10:00:55.771714,/analytics/requests,200,149,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
192.168.1.5,2025-05-12 10:00:55.990570,/auth/register,401,44,custom-bot/1.0,1,bruteforce
10.1.1.1,2025-05-12 10:00:56.070519,/docs,200,57,Go-http-client/1.1,0,normal
192.168.1.5,2025-05-12 10:00:56.346949,/auth/login,401,29,custom-bot/1.0,1,bruteforce
10.0.1.164,2025-05-12 10:00:56.475098,/analytics/requests,200,203,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.5,2025-05-12 10:00:57.987802,/auth/login,429,31,custom-bot/1.0,1,bruteforce
192.168.1.5,2025-05-12 10:00:59.260342,/auth/login,200,60,custom-bot/1.0,1,bruteforce
192.168.1.5,2025-05-12 10:00:59.313004,/auth/login,401,49,custom-bot/1.0,1,bruteforce
203.0.1.4,2025-05-12 10:01:00.443049,/auth/login,401,40,curl/7.88.1,1,credential_stuffing
203.0.1.4,2025-05-12 10:01:01.908987,/auth/register,401,24,python-requests/2.31.0,1,credential_stuffing
10.0.1.152,2025-05-12 10:01:02.239058,/analytics/summary,200,133,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.116,2025-05-12 10:01:02.254888,/api/keys,200,199,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.5,2025-05-12 10:01:02.258835,/auth/login,200,56,custom-bot/1.0,1,bruteforce
172.16.1.1,2025-05-12 10:01:02.267440,/auth/register,404,56,Java/17.0.1,1,scraper
203.0.1.4,2025-05-12 10:01:02.918119,/auth/login,401,35,curl/7.88.1,1,credential_stuffing
203.0.1.4,2025-05-12 10:01:03.434994,/auth/login,429,75,curl/7.88.1,1,credential_stuffing
10.0.1.141,2025-05-12 10:01:03.539548,/docs,201,195,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
172.16.1.2,2025-05-12 10:01:04.995360,/api/keys,200,78,axios/1.6.2,1,scraper
10.0.1.63,2025-05-12 10:01:05.631863,/security/rate-limits,201,39,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
192.168.1.5,2025-05-12 10:01:05.842423,/auth/login,429,31,custom-bot/1.0,1,bruteforce
192.168.1.5,2025-05-12 10:01:07.643081,/auth/login,401,58,custom-bot/1.0,1,bruteforce
10.1.1.15,2025-05-12 10:01:08.045111,/api/keys,200,205,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.5,2025-05-12 10:01:10.107110,/auth/login,401,60,custom-bot/1.0,1,bruteforce
10.1.1.18,2025-05-12 10:01:10.236955,/security/rate-limits,200,70,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.111,2025-05-12 10:01:10.899673,/health,200,76,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
203.0.1.4,2025-05-12 10:01:11.401084,/auth/login,401,24,Scrapy/2.11.0,1,credential_stuffing
10.0.1.58,2025-05-12 10:01:11.927727,/api/keys/generate,200,50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
192.168.1.1,2025-05-12 10:01:12.000614,/auth/login,401,43,Go-http-client/1.1,1,bruteforce
172.16.1.1,2025-05-12 10:01:12.761461,/api/keys,200,60,Java/17.0.1,1,scraper
10.0.1.61,2025-05-12 10:01:13.326505,/auth/login,400,213,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
10.0.1.51,2025-05-12 10:01:13.594739,/api/keys/generate,200,145,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.1.1.14,2025-05-12 10:01:14.048602,/security/rate-limits,200,97,python-requests/2.31.0,0,normal
192.168.1.1,2025-05-12 10:01:14.429595,/auth/login,401,42,Go-http-client/1.1,1,bruteforce
10.0.1.62,2025-05-12 10:01:14.832568,/users/settings,200,88,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
203.0.1.4,2025-05-12 10:01:16.025024,/auth/register,401,14,curl/7.88.1,1,credential_stuffing
10.0.1.6,2025-05-12 10:01:16.132859,/api/keys,200,173,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.0.1.26,2025-05-12 10:01:16.161641,/api/keys/generate,200,84,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.163,2025-05-12 10:01:16.688374,/docs,200,80,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
203.0.1.4,2025-05-12 10:01:16.700552,/auth/login,429,43,PostmanRuntime/7.36.0,1,credential_stuffing
10.0.1.4,2025-05-12 10:01:17.803488,/security/blocked-ips,200,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
172.16.1.12,2025-05-12 10:01:18.203428,/api/keys,200,30,curl/7.88.1,1,scraper
10.0.1.26,2025-05-12 10:01:18.204441,/auth/login,200,167,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
192.168.1.5,2025-05-12 10:01:18.392942,/auth/login,401,59,custom-bot/1.0,1,bruteforce
10.1.1.11,2025-05-12 10:01:18.620126,/security/rate-limits,200,65,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.1.1.18,2025-05-12 10:01:18.749760,/users/settings,200,132,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.1.1.7,2025-05-12 10:01:19.574759,/docs,400,20,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
172.16.1.15,2025-05-12 10:01:19.737600,/api/keys,200,57,axios/1.6.2,1,scraper
172.16.1.15,2025-05-12 10:01:20.697550,/api/keys/generate,200,63,axios/1.6.2,1,scraper
10.1.1.6,2025-05-12 10:01:20.859404,/auth/register,200,159,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
192.168.1.5,2025-05-12 10:01:21.506917,/auth/login,200,42,custom-bot/1.0,1,bruteforce
10.0.1.77,2025-05-12 10:01:21.554356,/users/profile,200,90,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
172.16.1.1,2025-05-12 10:01:23.182255,/api/keys/generate,200,56,Java/17.0.1,1,scraper
203.0.1.4,2025-05-12 10:01:23.299630,/auth/login,401,86,python-requests/2.31.0,1,credential_stuffing
10.0.1.122,2025-05-12 10:01:23.376628,/users/profile,201,105,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.16,2025-05-12 10:01:23.619296,/api/keys,200,67,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.72,2025-05-12 10:01:23.737584,/docs,200,86,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
10.0.1.144,2025-05-12 10:01:23.806133,/api/keys/generate,200,182,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.0.1.57,2025-05-12 10:01:23.847816,/security/rate-limits,200,154,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
192.168.1.5,2025-05-12 10:01:24.147526,/auth/login,401,41,custom-bot/1.0,1,bruteforce
10.0.1.31,2025-05-12 10:01:25.523423,/api/keys,200,153,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.6,2025-05-12 10:01:25.565326,/auth/login,401,27,PostmanRuntime/7.36.0,1,bruteforce
10.0.1.111,2025-05-12 10:01:26.581712,/api/keys,200,138,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
203.0.1.4,2025-05-12 10:01:26.787843,/auth/login,401,56,PostmanRuntime/7.36.0,1,credential_stuffing
10.1.1.8,2025-05-12 10:01:26.906745,/api/keys/generate,400,35,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.140,2025-05-12 10:01:27.361158,/auth/login,404,161,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
10.0.1.139,2025-05-12 10:01:27.686906,/users/profile,200,209,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
203.0.1.4,2025-05-12 10:01:27.956732,/auth/login,401,68,curl/7.88.1,1,credential_stuffing
172.16.1.12,2025-05-12 10:01:28.027986,/api/keys/generate,200,58,curl/7.88.1,1,scraper
10.1.1.14,2025-05-12 10:01:28.089874,/docs,200,74,python-requests/2.31.0,0,normal
172.16.1.5,2025-05-12 10:01:28.863725,/auth/register,404,63,Java/17.0.1,1,scraper
10.0.1.56,2025-05-12 10:01:29.200351,/security/blocked-ips,201,38,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
192.168.1.1,2025-05-12 10:01:29.527120,/auth/login,401,43,Go-http-client/1.1,1,bruteforce
203.0.1.4,2025-05-12 10:01:29.570994,/auth/login,401,37,python-requests/2.31.0,1,credential_stuffing
10.0.1.63,2025-05-12 10:01:29.811787,/auth/login,404,208,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.34,2025-05-12 10:01:30.144731,/auth/register,200,204,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.0.1.123,2025-05-12 10:01:30.551792,/api/keys,200,173,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.28,2025-05-12 10:01:30.737810,/health,200,159,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
192.168.1.5,2025-05-12 10:01:30.749110,/auth/login,401,26,custom-bot/1.0,1,bruteforce
203.0.1.4,2025-05-12 10:01:31.230360,/auth/login,429,28,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,1,credential_stuffing
192.168.1.6,2025-05-12 10:01:31.688247,/auth/login,401,28,PostmanRuntime/7.36.0,1,bruteforce
10.0.1.168,2025-05-12 10:01:31.738571,/api/keys/generate,200,175,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.48,2025-05-12 10:01:31.805630,/health,200,202,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
10.1.1.18,2025-05-12 10:01:32.033976,/users/settings,200,118,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
192.168.1.1,2025-05-12 10:01:32.305980,/auth/login,401,36,Go-http-client/1.1,1,bruteforce
10.0.1.163,2025-05-12 10:01:32.343301,/analytics/summary,200,168,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.0.1.159,2025-05-12 10:01:32.421671,/health,200,215,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.0.1.101,2025-05-12 10:01:33.788829,/users/profile,200,221,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.6,2025-05-12 10:01:34.125648,/auth/login,401,49,PostmanRuntime/7.36.0,1,bruteforce
10.0.1.49,2025-05-12 10:01:34.325343,/users/settings,200,130,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
172.16.1.13,2025-05-12 10:01:34.743130,/api/keys,200,44,Java/17.0.1,1,scraper
203.0.1.4,2025-05-12 10:01:34.974636,/auth/login,401,57,python-requests/2.31.0,1,credential_stuffing
203.0.1.4,2025-05-12 10:01:36.712906,/auth/login,401,86,python-requests/2.31.0,1,credential_stuffing
192.168.1.1,2025-05-12 10:01:36.829557,/auth/login,401,42,Go-http-client/1.1,1,bruteforce
10.1.1.13,2025-05-12 10:01:36.872944,/auth/login,400,152,Go-http-client/1.1,0,normal
10.0.1.103,2025-05-12 10:01:36.968755,/health,200,89,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.1.1.15,2025-05-12 10:01:37.243184,/auth/login,404,179,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
203.0.1.4,2025-05-12 10:01:37.388912,/auth/login,401,55,Scrapy/2.11.0,1,credential_stuffing
192.168.1.6,2025-05-12 10:01:37.538589,/auth/login,401,27,PostmanRuntime/7.36.0,1,bruteforce
10.1.1.17,2025-05-12 10:01:37.605850,/security/rate-limits,200,61,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
203.0.1.4,2025-05-12 10:01:37.682393,/auth/login,401,40,Scrapy/2.11.0,1,credential_stuffing
10.0.1.103,2025-05-12 10:01:38.220335,/docs,200,284,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.87,2025-05-12 10:01:38.330821,/security/blocked-ips,200,151,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
192.168.1.6,2025-05-12 10:01:39.775108,/auth/login,401,20,PostmanRuntime/7.36.0,1,bruteforce
192.168.1.5,2025-05-12 10:01:40.087147,/auth/register,401,38,custom-bot/1.0,1,bruteforce
203.0.1.4,2025-05-12 10:01:40.533080,/auth/login,429,46,Scrapy/2.11.0,1,credential_stuffing
203.0.1.4,2025-05-12 10:01:40.691155,/auth/login,401,68,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,1,credential_stuffing
192.168.1.1,2025-05-12 10:01:40.904936,/auth/login,401,44,Go-http-client/1.1,1,bruteforce
10.0.1.93,2025-05-12 10:01:41.052043,/auth/login,200,132,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
172.16.1.15,2025-05-12 10:01:41.253101,/analytics/requests,403,59,curl/7.88.1,1,scraper
10.0.1.58,2025-05-12 10:01:41.590316,/health,200,200,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.1.1.1,2025-05-12 10:01:41.745724,/security/rate-limits,200,226,Go-http-client/1.1,0,normal
192.168.1.6,2025-05-12 10:01:42.560975,/auth/login,401,43,PostmanRuntime/7.36.0,1,bruteforce
192.168.1.1,2025-05-12 10:01:42.894883,/auth/login,401,25,Go-http-client/1.1,1,bruteforce
10.1.1.20,2025-05-12 10:01:43.160264,/api/keys/generate,200,133,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
172.16.1.13,2025-05-12 10:01:43.605537,/api/keys/generate,200,69,Java/17.0.1,1,scraper
203.0.1.4,2025-05-12 10:01:43.763902,/auth/login,401,91,Scrapy/2.11.0,1,credential_stuffing
192.168.1.6,2025-05-12 10:01:44.995242,/auth/login,401,41,PostmanRuntime/7.36.0,1,bruteforce
10.0.1.134,2025-05-12 10:01:45.107778,/analytics/summary,200,53,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
203.0.1.4,2025-05-12 10:01:45.309950,/auth/login,401,62,python-requests/2.31.0,1,credential_stuffing
203.0.1.4,2025-05-12 10:01:45.791510,/auth/register,401,63,Scrapy/2.11.0,1,credential_stuffing
10.0.1.116,2025-05-12 10:01:45.874569,/analytics/requests,200,220,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
10.0.1.12,2025-05-12 10:01:46.586241,/security/blocked-ips,200,129,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
192.168.1.1,2025-05-12 10:01:46.955148,/auth/login,200,17,Go-http-client/1.1,1,bruteforce
10.0.1.131,2025-05-12 10:01:46.981968,/api/keys,200,171,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
10.0.1.15,2025-05-12 10:01:48.196484,/docs,200,167,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
203.0.1.4,2025-05-12 10:01:48.836963,/users/profile,401,60,Scrapy/2.11.0,1,credential_stuffing
172.16.1.9,2025-05-12 10:01:49.415109,/auth/register,200,79,Go-http-client/1.1,1,scraper
192.168.1.1,2025-05-12 10:01:49.479841,/auth/login,401,51,Go-http-client/1.1,1,bruteforce
10.0.1.62,2025-05-12 10:01:49.731273,/security/blocked-ips,200,213,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
