ip,requests_per_min,endpoint_variety,error_rate,avg_time_between_reqs,single_endpoint_ratio,user_agent_variety,is_attack,attack_type
10.0.1.171,0.3985,10,0.1905,158.1114,0.1429,2,0,normal
10.0.1.172,0.2802,8,0.0625,228.4348,0.1875,2,0,normal
10.0.1.173,0.3399,8,0.1176,187.5692,0.1765,1,0,normal
10.0.1.174,0.43,12,0.0417,145.592,0.1667,1,0,normal
10.0.1.175,0.5036,12,0.1034,123.3919,0.1379,2,0,normal
10.0.1.176,0.3287,8,0.1053,192.6683,0.2105,1,0,normal
10.0.1.177,0.3748,11,0.0952,168.0852,0.1905,2,0,normal
10.0.1.178,0.2721,8,0.1429,237.5,0.2143,2,0,normal
10.0.1.179,0.3837,10,0.1579,165.0768,0.2632,2,0,normal
10.0.1.18,0.5074,10,0.1034,122.4646,0.2759,2,0,normal
10.0.1.180,0.2075,6,0.0,330.3975,0.25,2,0,normal
10.0.1.19,0.3307,12,0.1579,191.5288,0.1579,1,0,normal
10.0.1.2,0.4847,10,0.0833,129.1799,0.2083,1,0,normal
10.0.1.20,0.4669,12,0.0769,133.6428,0.1923,1,0,normal
10.0.1.21,0.3109,9,0.0714,207.8655,0.2143,1,0,normal
10.0.1.22,0.4114,10,0.1364,152.8025,0.1818,2,0,normal
10.0.1.23,0.5339,12,0.1852,116.6929,0.1481,2,0,normal
10.0.1.24,0.1452,5,0.0,495.7478,0.3333,1,0,normal
10.0.1.25,0.3904,10,0.15,161.7916,0.2,1,0,normal
10.0.1.26,0.5627,11,0.1786,110.582,0.1429,2,0,normal
10.0.1.27,0.5429,11,0.0667,114.3225,0.1667,2,0,normal
10.0.1.28,0.6482,7,0.1429,99.682,0.3571,1,0,normal
10.0.1.29,0.3056,10,0.1333,210.3351,0.2,1,0,normal
10.0.1.3,0.1474,5,0.2,508.8621,0.2,2,0,normal
10.0.1.30,0.5305,12,0.1379,117.1414,0.1724,2,0,normal
10.0.1.31,0.3626,12,0.0476,173.7604,0.1905,1,0,normal
10.0.1.32,0.5016,11,0.0714,124.0391,0.1786,1,0,normal
10.0.1.33,0.252,6,0.1429,277.7716,0.2857,1,0,normal
10.0.1.34,0.3175,9,0.1111,200.0947,0.1667,2,0,normal
10.0.1.35,0.2735,7,0.1667,239.3215,0.25,1,0,normal
10.0.1.36,0.3838,10,0.1053,165.0099,0.2105,1,0,normal
10.0.1.37,0.2539,5,0.0,270.0889,0.25,2,0,normal
10.0.1.38,0.1005,4,0.0,746.296,0.4,1,0,normal
10.0.1.39,0.1825,9,0.2,365.3232,0.2,1,0,normal
10.0.1.4,0.4548,12,0.04,137.4322,0.12,1,0,normal
10.0.1.40,0.3505,9,0.0625,182.5834,0.1875,2,0,normal
10.0.1.41,0.3118,9,0.0588,204.4418,0.2353,2,0,normal
10.0.1.42,0.0959,4,0.0,782.129,0.4,1,0,normal
10.0.1.43,0.3684,10,0.2222,172.4596,0.1111,2,0,normal
10.0.1.44,0.1789,4,0.0,419.1151,0.4,2,0,normal
10.0.1.45,0.5088,11,0.1786,122.281,0.1786,2,0,normal
10.0.1.46,0.2388,7,0.0833,274.1548,0.3333,1,0,normal
10.0.1.47,0.3503,10,0.1111,181.3816,0.2222,1,0,normal
10.0.1.48,0.1369,5,0.0,500.8666,0.5,1,0,normal
10.0.1.49,0.2917,9,0.0667,220.3522,0.2667,2,0,normal
10.0.1.5,0.1523,4,0.0,492.4058,0.4,2,0,normal
10.0.1.50,0.2913,10,0.0,220.655,0.2,2,0,normal
10.0.1.51,0.0909,4,0.0,825.41,0.4,1,0,normal
10.0.1.52,0.3686,9,0.0625,173.6316,0.3125,1,0,normal
10.0.1.53,0.3208,9,0.2353,198.7206,0.1765,1,0,normal
10.0.1.54,0.1049,5,0.1667,686.3603,0.3333,1,0,normal
10.0.1.55,0.2693,7,0.0,241.3633,0.3077,2,0,normal
10.0.1.56,0.5391,12,0.2,115.1389,0.1333,1,0,normal
10.0.1.57,0.3907,10,0.0455,160.8929,0.1818,1,0,normal
10.0.1.58,0.4513,12,0.0,138.0614,0.1481,1,0,normal
10.0.1.59,0.4816,12,0.0741,129.3651,0.1852,1,0,normal
10.0.1.6,0.5557,11,0.1333,111.7021,0.2,2,0,normal
10.0.1.60,0.4324,10,0.1364,145.3788,0.1818,1,0,normal
10.0.1.61,0.5254,11,0.0714,118.4332,0.1786,2,0,normal
10.0.1.62,0.373,12,0.0952,168.9091,0.1905,2,0,normal
10.0.1.63,0.4295,11,0.0833,145.785,0.1667,1,0,normal
10.0.1.64,0.2156,8,0.1,309.1992,0.2,1,0,normal
10.0.1.65,0.3051,11,0.0588,208.9626,0.1765,1,0,normal
10.0.1.66,0.5223,11,0.125,119.8623,0.1667,2,0,normal
10.0.1.67,0.2164,4,0.0,323.486,0.5714,2,0,normal
10.0.1.68,0.1744,6,0.1,382.3379,0.3,2,0,normal
10.0.1.69,0.354,8,0.2308,183.6037,0.1538,2,0,normal
10.0.1.7,0.2458,9,0.1111,274.6224,0.1111,2,0,normal
10.0.1.70,0.3847,11,0.0455,163.3728,0.1818,1,0,normal
10.0.1.71,0.3112,8,0.0,214.2509,0.3,1,0,normal
10.0.1.72,0.1799,6,0.0,370.5249,0.3,1,0,normal
10.0.1.73,0.4556,9,0.0952,138.2779,0.1905,2,0,normal
10.0.1.74,0.3105,9,0.0588,205.3168,0.1765,2,0,normal
10.0.1.75,0.4665,12,0.1538,133.7512,0.1538,2,0,normal
10.0.1.76,0.145,5,0.0,496.3901,0.3333,1,0,normal
10.0.1.77,0.3433,9,0.1,183.9814,0.2,1,0,normal
10.0.1.78,0.3459,10,0.1667,183.6461,0.2222,2,0,normal
10.0.1.79,0.3011,8,0.0714,214.5713,0.2143,1,0,normal
10.0.1.8,0.2025,6,0.0,325.875,0.3636,1,0,normal
10.0.1.80,0.5333,11,0.1,116.3836,0.1667,1,0,normal
10.0.1.81,0.1516,6,0.0,461.6423,0.2857,1,0,normal
10.0.1.82,0.1722,5,0.0,391.9281,0.4444,2,0,normal
10.0.1.83,0.403,12,0.0476,156.3115,0.1905,2,0,normal
10.0.1.84,0.502,10,0.1111,124.1273,0.1852,1,0,normal
10.0.1.85,0.3577,11,0.1,176.5613,0.2,2,0,normal
10.0.1.86,0.493,9,0.0435,127.2433,0.2609,1,0,normal
10.0.1.87,0.4728,9,0.1111,131.7929,0.2593,1,0,normal
10.0.1.88,0.2406,5,0.0,290.974,0.2857,1,0,normal
10.0.1.89,0.1859,6,0.0,363.1577,0.2222,2,0,normal
10.0.1.9,0.2822,10,0.0,228.9619,0.1429,2,0,normal
10.0.1.90,0.2112,7,0.0,312.5663,0.2727,2,0,normal
10.0.1.91,0.2802,8,0.1875,228.392,0.1875,2,0,normal
10.0.1.92,0.332,9,0.0,190.7825,0.2105,1,0,normal
10.0.1.93,0.5345,12,0.0667,116.125,0.2333,2,0,normal
10.0.1.94,0.2893,7,0.0,221.2138,0.25,1,0,normal
10.0.1.95,0.227,9,0.0,290.7252,0.1818,1,0,normal
10.0.1.96,0.1694,5,0.0,424.98,0.3333,1,0,normal
10.0.1.97,0.2031,10,0.0909,324.9348,0.1818,2,0,normal
10.0.1.98,0.5318,11,0.1034,116.8431,0.2069,2,0,normal
10.0.1.99,0.5334,10,0.1379,116.4947,0.1724,2,0,normal
10.1.1.1,0.9026,12,0.1698,67.7549,0.1509,3,0,normal
10.1.1.10,0.7538,12,0.2,81.6365,0.225,1,0,normal
10.1.1.11,0.8482,11,0.3061,72.2101,0.1837,2,0,normal
10.1.1.12,0.9555,12,0.283,64.0005,0.1698,1,0,normal
10.1.1.13,0.7427,12,0.3333,82.9154,0.1538,3,0,normal
10.1.1.14,0.9624,11,0.2143,63.4756,0.1607,1,0,normal
10.1.1.15,0.557,12,0.25,111.2032,0.1562,1,0,normal
10.1.1.16,0.9809,12,0.2857,62.2792,0.1429,2,0,normal
10.1.1.17,0.7702,12,0.2727,79.7149,0.1591,2,0,normal
10.1.1.18,0.7541,12,0.3333,81.3759,0.1556,1,0,normal
10.1.1.19,0.4325,11,0.24,144.5233,0.16,3,0,normal
10.1.1.2,0.6605,12,0.1892,93.3681,0.1892,1,0,normal
10.1.1.20,0.5599,12,0.2188,110.6134,0.1562,3,0,normal
10.1.1.3,0.8172,12,0.1489,75.0209,0.1702,3,0,normal
10.1.1.4,0.7363,11,0.1818,83.3837,0.1136,2,0,normal
10.1.1.5,0.5222,11,0.2857,119.1449,0.1786,1,0,normal
10.1.1.6,0.9446,12,0.1455,64.6927,0.1273,3,0,normal
10.1.1.7,0.8203,12,0.2917,74.6989,0.1667,2,0,normal
10.1.1.8,0.7684,12,0.3043,79.8157,0.1522,1,0,normal
10.1.1.9,1.0467,12,0.2759,58.3313,0.1724,2,0,normal
172.16.1.1,0.7419,20,0.2857,82.8457,0.0714,3,1,scraper
172.16.1.10,0.8497,20,0.2917,72.1131,0.0625,2,1,scraper
172.16.1.11,1.1278,20,0.3284,54.0077,0.0597,2,1,scraper
172.16.1.12,1.4535,20,0.2235,41.77,0.0588,2,1,scraper
172.16.1.13,1.004,20,0.2881,60.7927,0.0508,3,1,scraper
172.16.1.14,1.4771,20,0.2414,41.0931,0.0575,4,1,scraper
172.16.1.15,1.4928,20,0.2697,40.6496,0.0562,3,1,scraper
172.16.1.2,0.7635,20,0.1333,80.368,0.0667,2,1,scraper
172.16.1.3,1.3618,20,0.1867,44.656,0.0533,3,1,scraper
172.16.1.4,1.2322,20,0.2676,49.3891,0.0563,3,1,scraper
172.16.1.5,1.1537,20,0.2941,52.7829,0.0588,3,1,scraper
172.16.1.6,1.6008,20,0.2198,37.897,0.0549,2,1,scraper
172.16.1.7,1.6346,20,0.1959,37.0878,0.0515,3,1,scraper
172.16.1.8,0.8799,20,0.2857,69.6132,0.0612,3,1,scraper
172.16.1.9,1.2099,20,0.2676,50.2981,0.0563,4,1,scraper
192.168.1.1,2.1414,3,0.8992,28.2563,0.8908,1,1,bruteforce
192.168.1.10,3.2087,3,0.9394,18.9871,0.9394,1,1,bruteforce
192.168.1.11,5.8855,3,0.9429,10.3422,0.8857,1,1,bruteforce
192.168.1.12,2.6351,3,0.9278,23.0066,0.9485,1,1,bruteforce
192.168.1.13,3.0284,3,0.8455,19.994,0.9455,1,1,bruteforce
192.168.1.14,1.9052,3,0.9333,31.919,0.9333,1,1,bruteforce
192.168.1.15,13.2205,3,0.819,4.5821,0.9048,1,1,bruteforce
192.168.1.2,2.6479,3,0.887,22.858,0.9043,1,1,bruteforce
192.168.1.3,3.5185,3,0.9077,17.1849,0.9538,1,1,bruteforce
192.168.1.4,1.9075,3,0.8955,31.9306,0.8657,1,1,bruteforce
192.168.1.5,2.1829,3,0.8889,27.7427,0.8981,1,1,bruteforce
192.168.1.6,3.8079,3,0.9259,15.8745,0.9111,1,1,bruteforce
192.168.1.7,2.7461,3,0.9062,22.0792,0.9583,1,1,bruteforce
192.168.1.8,3.4187,3,0.8732,17.675,0.9437,1,1,bruteforce
192.168.1.9,22.1517,3,0.8992,2.7298,0.8295,1,1,bruteforce
203.0.1.1,3.6835,3,0.9703,16.4518,0.703,3,1,credential_stuffing
203.0.1.10,1.9571,3,0.9314,30.9616,0.7745,5,1,credential_stuffing
203.0.1.11,4.2874,3,0.9576,14.1141,0.8051,4,1,credential_stuffing
203.0.1.12,3.2204,3,0.971,18.9054,0.6522,5,1,credential_stuffing
203.0.1.13,1.5052,3,0.9683,40.5052,0.6349,5,1,credential_stuffing
203.0.1.14,10.9527,3,0.9612,5.5318,0.6893,3,1,credential_stuffing
203.0.1.15,1.9619,3,0.9467,30.9963,0.6667,6,1,credential_stuffing
203.0.1.2,3.5177,3,0.9496,17.2011,0.6807,6,1,credential_stuffing
203.0.1.3,2.6989,3,0.9604,22.4537,0.7525,5,1,credential_stuffing
203.0.1.4,1.3014,3,0.9333,46.7278,0.7733,5,1,credential_stuffing
203.0.1.5,3.0337,3,0.9649,19.9526,0.7018,3,1,credential_stuffing
203.0.1.6,2.0994,3,0.9681,28.8865,0.6383,6,1,credential_stuffing
203.0.1.7,3.2897,3,0.9407,18.3945,0.7458,4,1,credential_stuffing
203.0.1.8,3.3937,3,0.9391,17.8348,0.7217,5,1,credential_stuffing
203.0.1.9,1.568,3,0.9589,38.7977,0.7534,6,1,credential_stuffing
